Title,Author,Publication Year
Hans Kelsen - neuere Forschungen und Literatur / Robert Chr. van Ooyen,"Ooyen, Robert Chr. van [Verfasser]",2019
"Hans Kelsen in seiner Zeit / herausgegeben von Clemens Jabloner, Thomas Olechowski, Klaus Zeleny","Jabloner, Clemens [Herausgeber]; Olechowski, Thomas [Herausgeber]; Zeleny, Klaus [Herausgeber]",2019
"Kampf den Feinden oder Schutz der Minderheiten? : Der Einfluss staats- und gesellschaftstheoretischer Auffassungen auf die strafrechtliche Theorie, Rechtsprechung und Gesetzgebung / Felix Fleckenstein","Fleckenstein, Felix [Verfasser]",2019
Kelsen im Kontext : Beiträge zum Werk Hans Kelsens und geistesverwandter Autoren / Horst Dreier ; herausgegeben von Matthias Jestaedt und Stanley L. Paulson,"Dreier, Horst [Verfasser]; Jestaedt, Matthias [Herausgeber]; Paulson, Stanley L. [Herausgeber]",2019
Kelsen im Kontext : Beiträge zum Werk Hans Kelsens und geistesverwandter Autoren / Horst Dreier,"Dreier, Horst [Verfasser]; Jestaedt, Matthias [Herausgeber]; Paulson, Stanley L. [Herausgeber]",2019
Kelsens Theorie der Rechtserkenntnis : zugleich eine kritische Betrachtung der Positivität als Eigenschaft des Rechts / von Matheus Pelegrino da Silva,"Silva, Matheus Pelegrino da [Verfasser]",2019
Kelsens Theorie der Rechtserkenntnis. : Zugleich eine kritische Betrachtung der Positivität als Eigenschaft des Rechts. / Matheus Pelegrino da Silva,"Silva, Matheus Pelegrino da [Verfasser]",2019
"[Verfassung und Verfassungsrecht] ; La controversia Smend/Kelsen sobre la integración en la constitutión y el estado durante la República de Weimar : constitución y derecho constitucional versus el estado como integración : una controversia de principio / Rudolf Smend, Hans Kelsen ; traducción de José María Beneyto, Juan Antonio García Amado","Smend, Rudolf [Verfasser]; Kelsen, Hans [Verfasser]",2019
"Rechts- und Verfassungspolitologie bei Ernst Fraenkel und Otto Kirchheimer : Kritik und Rezeption des Rechtspositivismus von Hans Kelsen und der politischen ""Freund-Feind-Theologie"" von Carl Schmitt / Robert Chr. van Ooyen","Ooyen, Robert Chr. van [Verfasser]",2019
Souveränitätsfragmente : ein Beitrag zur Literaturgeschichte der Souveränität und gegenwärtigen Herausforderungen der Rechtswissenschaften im Spiegel der Digitalisierung / Julien Steinbach,"Steinbach, Julien [Verfasser]",2019
Weimarer Staatsrechtslehre und Grundgesetz. : Ein verfassungstheoretischer Vergleich. / Peter Unruh,"Unruh, Peter [Verfasser]",2019
"Wer soll der Hüter der Verfassung sein? : Abhandlungen zur Theorie der Verfassungsgerichtsbarkeit in der pluralistischen, parlamentarischen Demokratie / Hans Kelsen ; herausgegeben, mit einer Einleitung und  einem Nachtrag zur Kelsen-Rezeption versehen von Robert Chr. van Ooyen","Kelsen, Hans [Verfasser]; Ooyen, Robert Chr. van [Herausgeber] [Verfasser einer Einleitung] [Verfasser von ergänzendem Text]",2019
"Wer soll der Hüter der Verfassung sein? : Abhandlungen zur Theorie der Verfassungsgerichtsbarkeit in der pluralistischen, parlamentarischen Demokratie / Hans Kelsen","Kelsen, Hans [Verfasser]; Ooyen, Robert Chr. van [Herausgeber]",2019
"Autoridad y verdad : Schmitt, Kelsen y Strauss, lectores de Hobbes / Andrea Mejía Pérez","Mejía Pérez, Andrea [Verfasser]",2018
Due saggi sulla democrazia in difficoltà (1920-1925) / Hans Kelsen ; a cura di Mario G. Losano,"Kelsen, Hans [Verfasser]",2018
