Title,Author,Publication Year
"Das Verhältnis zwischen Individuum und Gesellschaft. Marx, Durkheim, Weber und Simmel im Vergleich / Sven Böttger","Böttger, Sven [Verfasser]",2016
Die Sozialisationstheorien von Émile Durkheim und Talcott Parsons. Eine Apologie der Bildungssoziologie / Moritz Heinz Brylski,"Brylski, Moritz Heinz [Verfasser]",2016
Zen und wir / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2016
Zen und wir / Karlfried Graf Dürckheim,"Dürckheim, Karlfried",2016
Émile Durkheim / Daniel Šuber,"Šuber, Daniel [Verfasser]",2015
L' Allemagne au dessus de tout : commentaire à vive voix / Émile Durkheim/Bruno Karsenti,"Durkheim, Émile [Verfasser]; Karsenti, Bruno [Verfasser]",2015
Auf den Spuren der Klassiker : Pierre Bourdieus Feldtheorie und die Gründerväter der Soziologie / Daniel Witte,"Witte, Daniel [Verfasser]",2014
"Kapital, rationalitet och social sammanhållning : en introduktion till klassisk samhällsteori / Anders Boglind ; Sven Eliaeson ; Per Månson","Boglind, Anders Verfasser]; [Eliæson, Sven [Verfasser]; Månson, Per [Verfasser]",2014
Kultursoziologie : klassische Texte - aktuelle Debatten ; ein Reader / Frank Adloff ... (Hg.),"Adloff, Frank [Herausgeber]; Alexander, Jeffrey C. Mitwirkender]; Archer, Margaret S. [Mitwirkender]; Berger, Peter [Mitwirkender]; [Bourdieu, Pierre [Mitwirkender]; Brubaker, Rogers Mitwirkender]; [Cooper, Frederick [Mitwirkender]; DiMaggio, Paul Mitwirkender]; Durkheim, Emile [Mitwirkender]; Eisenstadt, Shmuel N. [Mitwirkender]; Engels, Friedrich [Mitwirkender]; Foucault, Michel [Mitwirkender]; [Halbwachs, Maurice [Mitwirkender]; Hochschild, Arlie Russell [Mitwirkender]; Inglehart, Ronald [Mitwirkender]; Jepperson, Ronald L. Mitwirkender]; Kroeber, Alfred L. [Mitwirkender]; [Lamont, Michèle [Mitwirkender]; Latour, Bruno [Mitwirkender]; Luckmann, Thomas Mitwirkender]; [Luhmann, Niklas [Mitwirkender]; Mannheim, Karl [Mitwirkender]; Marx, Karl [Mitwirkender]; Mauss, Marcel [Mitwirkender]; Mead, George Herbert Mitwirkender]; Meyer, John W. [Mitwirkender]; Parsons, Talcott [Mitwirkender]; Plessner, Helmuth [Mitwirkender]; Simmel, Georg [Mitwirkender]; Swidler, Ann [Mitwirkender]; Tomasello, Michael [Mitwirkender]; Weber, Max [Mitwirkender]; West, Candace [Mitwirkender]; Williams, Raymond [Mitwirkender]; Zimmerman, Don H. [Mitwirkender]; [Büttner, Sebastian M. [Herausgeber]; Moebius, Stephan [Herausgeber]; Schützeichel, Rainer [Herausgeber]",2014
Max Weber : drei Arbeiten / Thomas Biedermann,"Biedermann, Thomas [Verfasser]",2014
