Title,Author,Publication Year
"1. Abteilung. Werke, Artikel, Entwürfe; Band 4. Ende August 1844 bis April 1846 / bearbeitet von Regina Roth und Chrisitne Weckwerth; Apparat","Roth, Regina [Herausgeber]",2022
"1. Abteilung. Werke, Artikel, Entwürfe; Band 4. Ende August 1844 bis April 1846 / bearbeitet von Regina Roth und Christine Weckwerth; Text","Roth, Regina [Herausgeber]",2022
[Marx] ; Il capitale / Karl Marx,"Marx, Karl [Verfasser]",2022
[Marx] ; Il processo di circolazione del capitel / Karl Marx,"Marx, Karl [Verfasser]",2022
[Marx] ; Il processo di produzione del capitel / Karl Marx,"Marx, Karl [Verfasser]",2022
Karl Marx : 1818 - 1883. Sonderh zum Karl-Marx-Jahr 1953 / Red.: Fritz Klein ; Joachim Streisand,"Marx, Karl [Mitwirkender]; Klein, Fritz [Mitwirkender]; Streisand, Joachim [Mitwirkender]",2022
Karl Marx : Philosoph der Verheißung / Christoph Werner unter Mitarbeit von Kurt Fricke,"Werner, Christoph [Verfasser]; Fricke, Kurt [Sonstige]",2022
Karl Marx geht um / Stefan Siegert,"Siegert, Stefan [Verfasser]; Braunheim, Dirk Designer]; Andreas, Hüllinghorst [Akademischer Betreuer]; [Siegert, Stefan [Illustrator]",2022
[Karl Marx on technology and alienation] ; Karl Marx über Technologie und Entfremdung / Amy E. Wendling ; aus dem Englischen von Dorothea Schmidt,"Wendling, Amy E. [Verfasser]; Schmidt, Dorothea [Übersetzer]",2022
"Karl Marx und der Kapitalismus / herausgegeben von Raphael Gross, Jürgen Herres und Sabine Kritter für das Deutsche Historische Museum","Gross, Raphael [Herausgeber]",2022
"Klassiker des politischen Denkens: Die große Hörbuch Box : Ein Grundlagenwerk der Politik / Karl Marx, Sun Tzu, Immanuel Kant, Max Weber, Benjamin Franklin [und weitere]","Marx, Karl [Künstler]; Tzu, Sun [Künstler]; Kant, Immanuel [Künstler]; Marx, Karl [Verfasser]; Tzu, Sun [Verfasser]; Kant, Immanuel [Verfasser]; Weber, Max [Verfasser]; Franklin, Benjamin [Verfasser]; Platon [Verfasser]; Machiavelli, Niccolò [Verfasser]; Büchner, Georg [Verfasser]; Görtz, Sven [Erzähler]; Fritsche, Jürgen [Erzähler]; Marx, Karl [Künstler]; Tzu, Sun [Künstler]; Kant, Immanuel [Künstler]; Weber, Max [Künstler]; Franklin, Benjamin [Künstler]; Platon [Künstler]; Machiavelli, Niccolò [Künstler]; Büchner, Georg [Künstler]; Görtz, Sven [Künstler]; Fritsche, Jürgen [Künstler]",2022
Lohnarbeit und Kapital : Zur Judenfrage u.a. Schriften aus d. Frühzeit / Karl Marx. Ausgew. von Ernst Drahn,"Marx, Karl [Verfasser]; Drahn, Ernst [Mitwirkender]",2022
"[Value, price and profit] ; Lohn, Preis und Profit / Karl Marx","Marx, Karl [Verfasser]",2022
"[Marx] ; Lohn, Preis und Profit : das kleine ""Kapital"": ein Vortrag zur politischen Ökonomie des Kapitalismus / Karl Marx ; herausgegeben und kommentiert von Thomas Kuczynski","Marx, Karl [Verfasser]; Kuczynski, Thomas [Herausgeber] [Kommentarverfasser]",2022
Manifest der Kommunistischen Partei / K. Marx ; F. Engels,"Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
Manifest der Kommunistischen Partei : Hörbuch / Karl Marx ; Friedrich Engels. Gesprochen von Peter Patzak,"Marx, Karl [Mitwirkender]; Engels, Friedrich [Mitwirkender]; Patzak, Peter [Mitwirkender]",2022
"Manifest der kommunistischen Partei : Karl Marx und Friedrich Engels / Friedrich Engels, Karl Marx","Engels, Friedrich [Verfasser]; Marx, Karl [Verfasser]",2022
"Manifest der kommunistischen Partei : Karl Marx und Friedrich Engels / Friedrich Engels, Karl Marx","Engels, Friedrich [Verfasser]; Marx, Karl [Verfasser]",2022
"Manifest der Kommunistischen Partei/Manifesto of the Communist Party / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
"Manifesto del partito comunista / Karl Marx, Friedrich Engels ; prefazione di Diego Fusaro ; traduzione di Nicoletta Giacon","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
1,,2022
2,,2022
3,,2022
Manoscritto economico 1861-1863 : teorie sul plusvalore / Karl Marx,"Marx, Karl [Verfasser]",2022
Marx : der Unvollendete / Jürgen Neffe ; gelesen von Stefan Wilkening,"Neffe, Jürgen [Verfasser]; Wilkening, Stefan [Erzähler]",2022
Marx ökologisch : Pariser Marxlektüren / Judith Butler,"Butler, Judith [Verfasser]; Ruf, Kianush [Übersetzer]; Engelmann, Peter [Herausgeber]",2022
"Marx und die Bibel : Voraussetzungen, Inszenierung und Konsequenzen einer produktiven Begegnung / Kuno Füssel","Füssel, Kuno [Verfasser]",2022
Marx und Kant : die normativen Grundlagen des Kapitals / Frank Kuhne,"Kuhne, Frank [Verfasser]",2022
"Marx’ Weg von Bonn nach Paris / Herausgeber und Redaktion: Rolf Hecker, Richard Sperl und Carl-Erich Vollgraf","Hecker, Rolf [Herausgeber]; Sperl, Richard [Herausgeber]; Vollgraf, Carl-Erich [Herausgeber]",2022
Ökonomische Aufsätze / Karl Marx,"Marx, Karl [Verfasser]",2022
Volume 5. Scritti 1845 - 1847,,2022
Volume 47. Lettere aprile 1883-dicembre 1887,,2022
[Spinoza's theologisch-politischer Traktat.] ; Quaderno Spinoza / Karl Marx ; a cura di Ludovica Filieri ; postfazione di Alexandre Matheron,"Marx, Karl,, 1818-1883. [Verfasser]; Filieri, Ludovica. [Herausgeber]",2022
Revolution und Kontre-Revolution in Deutschland / Karl Marx,"Marx, Karl Verfasser]; [Kautsky, Karl [Übersetzer]",2022
Revolution und Kontre-Revolution in Deutschland / Karl Marx,"Marx, Karl [Verfasser]; Kautsky, Karl [Übersetzer]",2022
Rote Bücher/Revolution und Kontre-Revolution in Deutschland / Karl Marx,"Marx, Karl [Verfasser]; Kautsky, Karl [Übersetzer]",2022
